CASE,CITATION,DATE,YEAR,DECADE,DECISION,DECISION2,EFFECT,STAT NAME,STAT CITE,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,AREA2,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT,caseId.SCDB,JRC caseID,,
Federal Deposit Insurance Corp. v. Mallen,486 U.S. 230,31/05/1988,1988,1980,0,0,upheld,Financial Institutions Supervisory Act of 1966,80 Stat. 1046,89-695,16/10/1966,259,89,1,,0,0,1,0,1,0,1,0,1,1987.09100,1988.06,,
Bowen v. Kendrick,487 U.S. 589,29/06/1988,1988,1980,0,0,upheld,Omnibus Budget Reconciliation Act of 1981,95 Stat. 578,97-35,13/08/1981,82,97,2,,1,0,1,0,1,0,1,4,1,1987.14800,1988.07,,
Morrison v. Olson,487 U.S. 654,27/06/1988,1988,1980,0,0,upheld,Ethics in Government Act of 1978,92 Stat. 1867,95-521,26/10/1978,116,95,6,,1,0,1,0,1,0,1,1,1,1987.14900,1988.08,,
Mistretta v. United States,488 U.S. 361,18/01/1989,1989,1980,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 2027,98-473,12/10/1984,51,98,6,,1,1,1,1,0,0,1,1,1,1988.02300,1989.01,,
Mesa v. California,489 U.S. 121,21/02/1989,1989,1980,1,1,struck down as applied,Judiciary and Judicial Procedure Act,62 Stat. 938,80-773,25/06/1948,608,80,5,,0,0,1,1,0,0,0,0,0,1988.03300,1989.02,,
Coit Independence Joint Venture v. Federal Savings and Loan Insurance Corp.,489 U.S. 561,21/03/1989,1989,1980,1,1,struck down as applied,National Housing Act,48 Stat. 1256,73-479,27/06/1934,657,73,6,,1,0,1,1,1,0,1,0,1,1988.05200,1989.03,,
Skinner v. Mid-American Pipeline Co.,490 U.S. 212,25/04/1989,1989,1980,0,0,upheld,Consolidate Omnibus Budget Reconciliation Act of 1985,100 Stat. 82,99-272,07/04/1986,36,99,6,,0,0,1,0,1,0,1,0,1,1988.07700,1989.04,,
United States v. Halper,490 U.S. 435,15/05/1989,1989,1980,1,1,struck down as applied,96 Stat. 978,96 Stat. 978,97-258,13/09/1982,80,97,1,,0,0,1,0,0,0,1,0,1,1988.08600,1989.05,,
Hernandez v. Commissioner,490 U.S. 680,05/06/1989,1989,1980,0,0,upheld,Revenue Act of 1943,58A Stat. 58,78-235,25/02/1944,544,78,2,,1,0,1,1,0,0,1,2,1,1988.09800,1989.06,,
Gomez v. United States,490 U.S. 858,12/06/1989,1989,1980,1,1,struck down as applied,Federal Magistrates Act,82 Stat. 1108,90-578,17/10/1968,248,90,6,1,0,0,1,1,1,0,1,0,1,1988.10700,1989.07,,
Pennsylvania v. Union Gas Co.,491 U.S. 1,15/06/1989,1989,1980,0,0,upheld,"Comprehensive Environmental Response, Compensation, and Liability Act of 1980",94 Stat. 2767,96-510,11/12/1980,102,96,5,,1,0,0,1,0,0,0,4,1,1988.11100,1989.08,,
Missouri v. Jenkins,491 U.S. 274,19/06/1989,1989,1980,0,0,upheld,Civil Rights Attorney's Fees Awards Act of 1976,90 Stat. 2641,94-559,19/10/1976,152,94,5,,0,0,0,1,0,0,0,3,1,1988.11900,1989.09,,
Public Citizen v. United States Department of Justice,491 U.S. 440,21/06/1989,1989,1980,1,1,struck down as applied,Federal Advisory Committee Act,86 Stat. 770,92-463,06/10/1972,200,92,6,,0,0,1,0,0,0,1,0,1,1988.12500,1989.10,,
United States v. Monsanto,491 U.S. 600,22/06/1989,1989,1980,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 2044,98-473,12/10/1984,56,98,1,,0,0,1,1,1,0,1,4,1,1988.13000,1989.11,,
Caplin & Drysdale v. United States,491 U.S. 617,22/06/1989,1989,1980,0,0,upheld,Comprehensive Drug Abuse Prevention and Control Act of 1970,84 Stat. 1265,91-513,27/10/1970,224,91,1,,1,0,1,1,0,0,1,4,1,1988.13100,1989.12,,
"Sable Communications of California, Inc. v. Federal Communications Commission",492 U.S. 115,23/06/1989,1989,1980,1,1,struck down as applied,Anti-Drug Abuse Act of 1988,102 Stat. 4502,100-690,18/11/1988,7,100,2,,1,0,1,0,0,1,1,3,1,1988.13900,1989.13,,
"Granfinanciera, S.A. v. Nordberg",492 U.S. 33,23/06/1989,1989,1980,1,1,struck down as applied,Bankruptcy Amendments and Federal Judgeship Act of 1984,98 Stat. 333,98-353,10/07/1984,59,98,1,6,1,0,0,1,1,0,0,3,1,1988.13700,1989.14,,
Hoffman v. Connecticut Department of Income Maintenance,492 U.S. 96,23/06/1989,1989,1980,1,1,struck down as applied,Bankruptcy Reform Act of 1978,92 Stat. 2555,95-598,06/11/1978,127,95,5,,1,0,1,1,0,0,0,4,1,1988.13800,1989.15,,
United States v. Sperry Corp.,493 U.S. 52,28/11/1989,1989,1980,0,0,upheld,Foreign Relations Authorization Act,99 Stat. 438,99-93,16/08/1985,51,99,4,1,0,0,1,0,1,0,1,0,1,1989.00700,1989.16,,
University of Pennsylvania v. Equal Employment Opportunity Commission,493 U.S. 182,09/01/1990,1990,1990,0,0,upheld,Civil Rights Act of 1964,78 Stat. 261,88-352,02/07/1964,305,88,2,,1,0,1,1,0,0,1,0,1,1989.01400,1990.01,,
Federal Trade Commission v. Superior Court Trial Lawyers Association,493 U.S. 411,22/01/1990,1990,1990,0,0,upheld,Federal Trade Commission Act,38 Stat. 717,63-203,26/09/1914,904,63,2,,1,1,1,1,1,0,1,3,1,1989.02400,1990.02,,
Preseault v. Interstate Commerce Commission,494 U.S. 1,21/02/1990,1990,1990,0,0,upheld,National Trails System Act Amendments,97 Stat. 48,98-11,28/03/1983,83,98,5,,0,0,1,1,0,0,1,0,1,1989.02900,1990.03,,
"Chauffeurs, Teamsters & Helpers, Local No. 391 v. Terry",494 U.S. 558,20/03/1990,1990,1990,1,1,struck down as applied,Taft-Hartley Act,61 Stat. 143,80-101,23/06/1947,513,80,1,,1,0,0,1,0,0,0,3,0,1989.05100,1990.04,,
United States Department of Labor v. Triplett,494 U.S. 715,27/03/1990,1990,1990,0,0,upheld,Federal Coal Mine Helath and Safety Act of 1969,83 Stat. 792,91-173,30/12/1969,243,91,1,,0,0,1,1,1,0,1,0,1,1989.05600,1990.05,,
United States v. Munoz-Flores,495 U.S. 385,21/05/1990,1990,1990,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 2170,98-473,12/10/1984,67,98,6,,0,0,1,1,1,0,1,0,1,1989.07800,1990.06,,
Board of Education of Westside Community School v. Mergens,496 U.S. 226,04/06/1990,1990,1990,0,0,upheld,Education for Economic Security Act,98 Stat. 1302,98-377,11/08/1984,70,98,2,,0,0,1,1,0,0,0,1,1,1989.10100,1990.07,,
United States v. Eichman,496 U.S. 310,11/06/1990,1990,1990,2,1,struck down on face,Flag Protection Act of 1989,103 Stat. 777,101-131,28/10/1989,8,101,2,,0,0,1,0,0,1,1,4,1,1989.10300,1990.08,,
Perpich v. Department of Defense,496 U.S. 334,11/06/1990,1990,1990,0,0,upheld,National Defense Authorization Act for Fiscal Year 1987,100 Stat. 3871,99-661,14/11/1986,43,99,5,,0,0,1,1,0,0,1,0,1,1989.10500,1990.09,,
Office of Personnel Management v. Richmond,496 U.S. 414,11/06/1990,1990,1990,0,0,upheld,80 Stat. 584,80 Stat. 584,89-554,06/09/1966,285,89,6,,0,0,1,1,1,0,1,2,1,1989.10800,1990.10,,
Sullivan v. Stroop,496 U.S. 478,14/06/1990,1990,1990,0,0,upheld,Deficit Reduction Act of 1984,98 Stat. 1145,98-369,18/07/1984,71,98,3,,0,0,1,1,1,0,1,4,1,1989.11000,1990.11,,
"Metro Broadcasting, Inc. v. Federal Communications Commission",497 U.S. 547,27/06/1990,1990,1990,0,0,upheld,101 Stat. 1329,101 Stat. 1329,100-202,22/12/1987,30,100,3,,0,0,1,1,1,0,1,4,1,1989.13600,1990.12,,
Touby v. United States,500 U.S. 160,20/05/1991,1991,1990,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 2071,98-473,12/10/1984,79,98,6,,0,0,1,1,0,0,1,0,1,1990.07500,1991.01,,
Rust v. Sullivan,500 U.S. 173,23/05/1991,1991,1990,0,0,upheld,Family Planning Services and Population Research Act of 1970,84 Stat. 1506,91-572,24/12/1970,245,91,2,3,0,0,1,1,0,0,1,4,1,1990.07700,1991.02,,
Chapman v. United States,500 U.S. 453,30/05/1991,1991,1990,0,0,upheld,Anti-Drug Abuse Act of 1986,100 Stat. 3207,99-570,27/10/1986,55,99,1,,1,1,1,1,0,0,1,2,1,1990.08900,1991.03,,
Burns v. United States,501 U.S. 129,13/06/1991,1991,1990,1,1,struck down as applied,Comprehensive Crime Control Act of 1984,98 Stat. 2014,98-473,12/10/1984,80,98,1,,1,0,1,1,1,0,1,4,1,1990.10200,1991.04,,
Metropolitan Washington Airports Authority v. Citizens for Abatement of Aircraft Noise,501 U.S. 252,17/06/1991,1991,1990,2,1,struck down on face,"Agriculture, Rural Development, and Related Agencies Appropriations Act",100 Stat. 3341,99-591,30/10/1986,56,99,6,,0,0,1,1,0,1,0,3,1,1990.10700,1991.05,,
Gregory v. Ashcroft,501 U.S. 452,20/06/1991,1991,1990,2,1,struck down on face,Fair Labor Standards Amendments of 1974,88 Stat. 74,93-259,08/04/1974,206,93,5,,0,0,0,1,0,0,0,4,1,1990.11400,1991.06,,
Freytag v. Commissioner,501 U.S. 868,27/06/1991,1991,1990,0,0,upheld,Tax Reform Act of 1986,100 Stat. 2085,99-514,22/10/1986,56,99,6,,1,0,1,1,0,0,1,0,1,1990.12600,1991.07,,
Peretz v. United States,501 U.S. 923,27/06/1991,1991,1990,0,0,upheld,Federal Magistrates Act,82 Stat. 1107,90-578,17/10/1968,284,90,6,,0,0,1,1,0,0,1,4,1,1990.12700,1991.08,,
Willy v. Coastal Corp.,503 U.S. 131,03/03/1992,1992,1990,0,0,upheld,Judiciary and Judicial Procedure Act,62 Stat. 961,80-773,25/06/1948,537,80,6,,0,0,0,1,0,0,0,0,0,1991.03900,1992.01,,
National Railroad Passenger Corp. v. Boston & Maine Corp.,503 U.S. 407,25/03/1992,1992,1990,0,0,upheld,Rail Passenger Service Act of 1970,84 Stat. 1327,91-518,30/10/1970,269,91,4,,1,0,1,1,1,0,1,3,1,1991.05400,1992.02,,
Robertson v. Seattle Audubon Society,503 U.S. 429,25/03/1992,1992,1990,0,0,upheld,103 Stat. 745,103 Stat. 745,101-121,23/10/1989,29,101,6,,0,0,1,1,1,0,1,0,1,1991.05500,1992.03,,
Department of Commerce v. Montana,503 U.S. 442,31/03/1992,1992,1990,0,0,upheld,55 Stat. 761,55 Stat. 761,77-291,15/11/1941,616,77,3,,0,0,1,1,1,0,1,0,1,1991.05600,1992.04,,
Lujan v. Defenders of Wildlife,504 U.S. 555,12/06/1992,1992,1990,1,1,struck down as applied,Endangered Species Act of 1973,87 Stat. 900,93-205,28/12/1973,234,93,6,,1,0,1,1,1,0,1,2,1,1991.08500,1992.05,,
New York v. United States,505 U.S. 144,19/06/1992,1992,1990,2,1,struck down on face,Low-Level Radioactive Waste Policy Amendments Act of 1985,99 Stat. 1850,99-240,15/01/1986,77,99,5,,0,0,1,1,1,1,1,3,1,1991.09900,1992.06,,
Rowland v. California Men's Colony,506 U.S. 194,12/01/1993,1993,1990,0,0,upheld,73 Stat. 590,73 Stat. 590,86-321,21/09/1959,400,86,2,,0,0,0,1,1,0,0,4,1,1992.01500,1993.01,,
Reno v. Flores,507 U.S. 292,23/03/1993,1993,1990,0,0,upheld,Immigration and Nationality Act,66 Stat. 208,82-414,27/06/1952,477,82,1,,1,0,1,1,1,0,1,2,1,1992.04400,1993.02,,
Federal Communications Commission v. Beach Communications,508 U.S. 307,01/06/1993,1993,1990,0,0,upheld,Cable Communications Policy Act of 1984,98 Stat. 2779,98-549,30/10/1984,104,98,3,4,1,0,1,1,1,0,1,0,1,1992.08200,1993.03,,
Concrete Pipe & Products v. Construction Laborers Pension Trust,508 U.S. 602,14/06/1993,1993,1990,0,0,upheld,Multiemployer Pension Plan Amendments of 1980,94 Stat. 1208,96-364,26/09/1980,153,96,1,4,0,0,0,1,0,0,0,0,1,1992.09500,1993.04,,
United States v. Edge Broadcasting Co.,509 U.S. 418,25/06/1993,1993,1990,0,0,upheld,Charity Games Advertising Clarification Act of 1988,102 Stat. 3206,100-625,07/11/1988,55,100,2,,0,0,1,1,1,0,1,2,1,1992.11000,1993.05,,
Alexander v. United States,509 U.S. 544,28/06/1993,1993,1990,0,0,upheld,Organized Crime Control Act of 1970,84 Stat. 941,91-452,15/10/1970,272,91,2,,1,1,1,1,0,0,1,4,1,1992.11300,1993.06,,
Weiss v. United States,510 U.S. 163,19/01/1994,1994,1990,0,0,upheld,Military Justice Act of 1968,82 Stat. 1335,90-632,24/10/1968,303,90,6,1,0,0,1,1,0,0,1,0,1,1993.01300,1994.01,,
Thunder Basin Coal Co. v. Reich,510 U.S. 200,19/01/1994,1994,1990,0,0,upheld,Federal Mine Safety and Health Amendments Act of 1977,91 Stat. 1290,95-164,09/11/1977,195,95,1,,0,0,1,1,0,0,1,0,1,1993.01400,1994.02,,
"Posters 'N' Things, Ltd. v. United States",511 U.S. 513,23/05/1994,1994,1990,0,0,upheld,Anti-Drug Abuse Act of 1986,100 Stat. 3207,99-570,27/10/1986,91,99,1,,1,1,1,1,0,0,1,0,1,1993.05200,1994.03,,
Nichols v. United States,511 U.S. 738,06/06/1994,1994,1990,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 1988,98-473,12/10/1984,116,98,1,,1,1,1,1,0,0,1,3,1,1993.06100,1994.04,,
United States v. Carlton,512 U.S. 26,13/06/1994,1994,1990,0,0,upheld,Omnibus Budget Reconciliation Act of 1987,101 Stat. 1330,100-203,22/12/1987,78,100,1,,0,0,1,1,1,0,1,0,1,1993.06700,1994.05,,
Reed v. Farley,512 U.S. 339,20/06/1994,1994,1990,0,0,upheld,Interstate Agreement on Detainers Act,84 Stat. 1397,91-538,09/12/1970,282,91,1,,0,0,1,1,0,0,0,4,1,1993.08000,1994.06,,
United States v. X-Citement Video,513 U.S. 64,29/11/1994,1994,1990,1,1,struck down as applied,Protection of Children Against Sexual Exploitation Act,92 Stat. 7,95-225,06/02/1978,201,95,1,2,0,0,1,1,1,0,1,2,1,1994.00600,1994.07,,
Lebron v. National Railroad Passenger Corp.,513 U.S. 374,21/02/1995,1995,1990,1,1,struck down as applied,Rail Passenger Service Act of 1970,84 Stat. 1330,91-518,30/10/1970,304,91,1,,1,0,0,1,1,0,1,1,1,1994.02100,1995.01,,
United States v. National Treasury Employees Union,513 U.S. 454,22/02/1995,1995,1990,1,1,struck down as applied,Ethics Reform Act of 1989,103 Stat. 1767,101-194,30/11/1989,63,101,2,,1,0,1,1,1,1,1,4,1,1994.02400,1995.02,,
Plaut v. Spendthrift Farm,514 U.S. 211,18/04/1995,1995,1990,1,1,struck down as applied,Federal Deposit Insurance Corporation Improvement Act of 1991,105 Stat. 2236,102-242,19/12/1991,40,102,6,,1,0,1,1,0,1,0,2,1,1994.04000,1995.03,,
Rubin v. Coors Brewing Co.,514 U.S. 476,19/04/1995,1995,1990,2,1,struck down on face,Federal Alcohol Administration Act,49 Stat. 977,74-401,29/08/1935,716,74,2,,0,0,1,1,0,1,1,0,1,1994.04800,1995.04,,
United States v. Lopez,514 U.S. 549,26/04/1995,1995,1990,2,1,struck down on face,Violent Crime Control and Law Enforcement Act of 1994,108 Stat. 1796,103-322,13/09/1994,7,103,5,,1,0,1,1,0,1,1,4,1,1994.05100,1995.05,,
Ryder v. United States,515 U.S. 177,12/06/1995,1995,1990,1,1,struck down as applied,Revision of Code relating to Armed Services,70A Stat. 1126,84-1028,10/08/1956,466,84,6,,0,0,1,1,1,0,1,0,1,1994.06700,1995.06,,
Witte v. United States,515 U.S. 389,14/06/1995,1995,1990,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 1988,98-473,12/10/1984,128,98,1,,1,0,1,1,0,0,1,1,1,1994.07600,1995.07,,
Wisconsin v. City of New York,517 U.S. 1,20/03/1996,1996,1990,0,0,upheld,Census Act,68 Stat. 1012,83-740,31/08/1954,499,83,3,,0,0,1,1,1,0,0,0,0,1995.03500,1996.01,,
Seminole Tribe v. Florida,517 U.S. 44,27/03/1996,1996,1990,2,1,struck down on face,Indian Gambling Regulatory Act,102 Stat. 2475,100-497,17/10/1988,89,100,5,,0,0,1,1,0,1,0,4,1,1995.03700,1996.02,,
United Food & Commercial Workers Union Local 751 v. Brown Group,517 U.S. 544,13/05/1996,1996,1990,0,0,upheld,Worker Adjustment and Retraining Notification Act,102 Stat. 890,100-379,04/08/1988,93,100,6,,1,0,1,1,1,0,0,0,1,1995.05100,1996.03,,
Loving v. United States,517 U.S. 748,03/06/1996,1996,1990,0,0,upheld,Revision of Code relating to Armed Services,70A Stat. 1126,84-1028,10/08/1956,478,84,6,1,0,0,1,1,0,0,1,0,1,1995.05900,1996.04,,
United States v. International Business Machines,517 U.S. 843,10/06/1996,1996,1990,1,1,struck down as applied,Renegotiation Act Extension,68A Stat. 521,83-746,16/08/1954,502,83,4,,1,0,1,1,0,1,1,2,0,1995.06500,1996.05,,
United States v. Ursery,518 U.S. 267,24/06/1996,1996,1990,0,0,upheld,Comprehensive Drug Abuse Prevention and Control Act of 1970,84 Stat. 1276,91-513,27/10/1970,308,91,1,,1,0,1,1,1,0,1,1,1,1995.07900,1996.06,,
Colorado Republican Federal Campaign Committee v. Federal Election Commission,518 U.S. 604,26/06/1996,1996,1990,1,1,struck down as applied,Federal Election Campaign Act Amendments of 1976,90 Stat. 486,94-283,11/05/1976,241,94,2,,0,0,1,1,0,1,1,6,1,1995.08600,1996.07,,
Felker v. Turpin,518 U.S. 651,28/06/1996,1996,1990,0,0,upheld,Antiterrorism and Effective Death Penalty Act of 1996,110 Stat. 1217,104-132,24/04/1996,2,104,6,1,0,0,1,1,0,0,0,0,0,1995.08700,1996.08,,
Denver Area Educational Telecommunications Consortium v. Federal Communications Commission,518 U.S. 727,28/06/1996,1996,1990,2,1,struck down on face,Cable Television Consumer Protection and Competition Act of 1992,106 Stat. 1486,102-385,05/10/1992,44,102,2,,1,1,1,1,1,1,1,6,1,1995.09000,1996.09,,
United States v. Watts,519 U.S. 148,06/01/1997,1997,1990,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 1987,98-473,12/10/1984,147,98,1,,1,1,0,1,1,0,1,2,1,1996.01200,1997.01,,
Babbitt v. Youpee,519 U.S. 234,21/01/1997,1997,1990,2,1,struck down on face,Indian Land Consolidation Act Amendments,98 Stat. 3173,98-608,30/10/1984,147,98,4,,0,0,1,1,0,1,1,1,1,1996.01700,1997.02,,
Turner Broadcasting System v. Federal Communications Commission,520 U.S. 180,31/03/1997,1997,1990,0,0,upheld,Cable Television Consumer Protection and Competition Act of 1992,106 Stat. 1460,102-385,05/10/1992,53,102,2,,1,1,1,0,0,0,1,4,1,1996.03900,1997.03,,
Edmond v. United States,520 U.S. 651,19/05/1997,1997,1990,0,0,upheld,Federal Aviation Act of 1958,72 Stat. 746,85-726,23/08/1958,465,85,6,,1,0,1,1,0,0,1,0,1,1996.05700,1997.04,,
Glickman v. Wileman Bros. & Elliott,521 U.S. 457,25/06/1997,1997,1990,0,0,upheld,Agricultural Marketing Agreement Act of 1937,50 Stat. 246,75-137,03/06/1937,720,75,2,,0,0,1,1,1,0,1,4,1,1996.08600,1997.05,,
City of Boerne v. Flores,521 U.S. 507,25/06/1997,1997,1990,2,1,struck down on face,Religious Freedom Restoration Act of 1993,107 Stat. 1488,103-141,16/11/1993,43,103,2,,1,1,1,1,1,1,0,3,1,1996.08700,1997.06,,
Reno v. American Civil Liberties Union,521 U.S. 844,26/06/1997,1997,1990,2,1,struck down on face,Telecommunications Act of 1996,110 Stat. 56,104-104,08/02/1996,16,104,2,,1,0,1,0,0,1,1,2,0,1996.09400,1997.07,,
Printz v. United States,521 U.S. 898,27/06/1997,1997,1990,2,1,struck down on face,Brady Handgun Violence Prevention Act,107 Stat. 1536,103-159,30/11/1993,43,103,5,,1,1,1,1,1,1,1,4,1,1996.09500,1997.08,,
Salinas v. United States,522 U.S. 52,02/12/1997,1997,1990,0,0,upheld,Organized Crime Control Act of 1970,84 Stat. 941,91-452,15/10/1970,326,91,5,,1,1,1,1,0,0,1,0,1,1997.00500,1997.09,,
Hudson v. United States,522 U.S. 93,10/12/1997,1997,1990,0,0,upheld,"Financial Institutions Reform, Recovery, and Enforcement Act of 1989",103 Stat. 469,101-73,09/08/1989,100,101,1,,1,0,1,1,0,0,1,0,1,1997.00900,1997.10,,
Brogan v. United States,522 U.S. 398,26/01/1998,1998,1990,0,0,upheld,Criminal Code Amendments,48 Stat. 996,73-394,18/06/1934,775,73,1,,0,0,1,1,0,0,1,2,1,1997.02400,1998.00,,
Almendarez-Torres v. United States,523 U.S. 224,24/03/1998,1998,1990,0,0,upheld,Anti-Drug Abuse Act of 1988,102 Stat. 4471,100-690,18/11/1988,112,100,1,,1,0,1,1,0,0,1,4,1,1997.04500,1998.01,,
Feltner v. Columbia Pictures TV,523 U.S. 340,31/03/1998,1998,1990,1,1,struck down as applied,U.S. Copyright Act of 1976,90 Stat. 2585,94-553,19/10/1976,137,94,1,,1,0,0,1,1,1,0,0,1,1997.04900,1998.02,,
United States v. United States Shoe Corp.,523 U.S. 360,31/03/1998,1998,1990,1,1,struck down as applied,Water and Resources Development Act of 1986,100 Stat. 4082,99-662,17/11/1986,136,99,4,,0,0,1,1,0,1,1,0,1,1997.05000,1998.03,,
Miller v. Albright,523 U.S. 420,22/04/1998,1998,1990,0,0,upheld,Immigration and Nationality Act,66 Stat. 238,82-414,27/06/1952,550,82,3,,1,0,1,1,0,0,1,3,1,1997.05500,1998.04,,
Federal Election Commission v. Akins,524 U.S. 11,01/06/1998,1998,1990,0,0,upheld,Federal Election Campaign Act of 1971,86 Stat. 11,92-225,07/02/1972,316,92,6,,1,0,1,1,0,0,1,3,1,1997.07400,1998.05,,
United States v. Bajakajian,524 U.S. 321,22/06/1998,1998,1990,1,1,struck down as applied,Anti-Drug Abuse Act of 1986,100 Stat. 3207,99-570,27/10/1986,140,99,1,,1,1,1,1,0,0,1,4,1,1997.09100,1998.06,,
Clinton v. City of New York,524 U.S. 417,25/06/1998,1998,1990,2,1,struck down on face,Line Item Veto Act,110 Stat. 1200,104-130,09/04/1996,26,104,6,,1,1,1,0,0,1,1,3,0,1997.09500,1998.07,,
Eastern Enterprises v. Apfel,524 U.S. 498,25/06/1998,1998,1990,1,1,struck down as applied,Energy Policy Act of 1992,106 Stat. 3037,102-486,24/10/1992,68,102,1,,1,1,1,1,1,1,1,5,1,1997.09600,1998.08,,
National Endowment of the Arts v. Finley,524 U.S. 569,25/06/1998,1998,1990,0,0,upheld,Department of the Interior and Related Agencies Appropriations Act of 1991,104 Stat. 1963,101-512,05/11/1990,92,101,2,,0,0,1,1,1,0,1,1,1,1997.09700,1998.09,,
United States v. Balsys,524 U.S. 666,25/06/1998,1998,1990,0,0,upheld,Immigration and Nationality Act,66 Stat. 198,82-414,27/06/1952,552,82,1,,1,1,1,1,1,0,1,2,1,1997.09900,1998.10,,
Reno v. American-Arab Anti-Discrimination Committee,525 U.S. 471,24/02/1999,1999,1990,0,0,upheld,Omnibus Consolidated Appropriations Act of 1997,110 Stat. 3009,104-208,30/09/1996,29,104,1,,1,1,1,1,0,0,1,1,0,1998.02400,1999.01,,
Saenz v. Roe,526 U.S. 489,17/05/1999,1999,1990,1,1,struck down as applied,Personal Responsibility and Work Opportunity Reconciliation Act of 1996,110 Stat. 2105,104-193,22/08/1996,33,104,2,3,1,1,1,1,0,0,0,2,0,1998.05200,1999.02,,
Greater New Orleans Broadcasting Association v. United States,527 U.S. 173,14/06/1999,1999,1990,1,1,struck down as applied,Charity Games Advertising Clarification Act of 1988,102 Stat. 3206,100-625,07/11/1988,127,100,2,,0,0,1,1,1,1,1,0,1,1998.07200,1999.03,,
Florida Prepaid Postsecondary Educational Expense Board v. College Savings Bank,527 U.S. 627,23/06/1999,1999,1990,2,1,struck down on face,Patent and Plant Variety Protection Remedy Clarification Act,106 Stat. 4230,102-560,28/10/1992,80,102,5,,0,0,1,1,1,1,0,4,1,1998.08900,1999.04,,
College Savings Bank v. Florida Prepaid Postsecondary Educational Expense Board,527 U.S. 666,23/06/1999,1999,1990,2,1,struck down on face,Trademark Remedy Clarification Act,106 Stat. 3567,102-542,27/10/1992,80,102,5,,0,0,1,1,0,1,0,4,1,1998.09000,1999.05,,
Alden v. Maine,527 U.S. 706,23/06/1999,1999,1990,1,1,struck down as applied,Fair Labor Standards Amendments of 1974,88 Stat. 55,93-259,08/04/1974,302,93,5,,0,0,1,1,0,1,0,4,1,1998.09100,1999.06,,
Reno v. Condon,528 U.S. 141,12/01/2000,2000,2000,0,0,upheld,Violent Crime Control and Law Enforcement Act of 1994,108 Stat. 2099,103-322,13/09/1994,64,103,5,,1,0,1,1,1,0,1,0,1,1999.01800,2000.01,,
Kimel v. Florida Board of Regents,528 U.S. 62,11/01/2000,2000,2000,2,1,struck down on face,Fair Labor Standards Amendments of 1974,88 Stat. 61,93-259,08/04/1974,309,93,5,,0,0,1,1,0,1,0,6,1,1999.01300,2000.02,,
United States v. Morrison,529 U.S. 598,15/05/2000,2000,2000,2,1,struck down on face,Violent Crime Control and Law Enforcement Act of 1994,108 Stat. 1941,103-322,13/09/1994,68,103,5,,1,0,1,1,0,1,1,4,1,1999.05700,2000.03,,
Johnson v. United States,529 U.S. 694,15/05/2000,2000,2000,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 1999,98-473,12/10/1984,187,98,1,,1,0,1,1,0,0,0,1,1,1999.05900,2000.04,,
"United States v. Playboy Entertainment Group, Inc.",529 U.S. 803,22/05/2000,2000,2000,2,1,struck down on face,Telecommunications Act of 1996,110 Stat. 136,104-104,08/02/1996,51,104,2,,1,0,1,0,0,1,0,4,0,1999.06300,2000.05,,
Jones v. United States,529 U.S. 848,22/05/2000,2000,2000,1,1,struck down as applied,Anti-Arson Act of 1982,96 Stat. 1319,97-298,12/10/1982,211,97,5,,0,0,1,1,1,0,0,0,1,1999.06400,2000.06,,
Miller v. French,530 U.S. 327,19/06/2000,2000,2000,0,0,upheld,Omnibus Consolidated Rescissions and Appropriations Act of 1996,110 Stat. 1321,104-134,26/04/1996,50,104,6,,0,0,1,1,1,0,0,3,0,1999.07800,2000.07,,
Dickerson v. United States,530 U.S. 428,26/06/2000,2000,2000,2,1,struck down on face,Omnibus Crime Control and Safe Streets Act of 1968,82 Stat. 210,90-351,19/06/1968,384,90,1,6,1,1,1,1,1,1,1,2,1,1999.08100,2000.08,,
Mitchell v. Helms,530 U.S. 793,28/06/2000,2000,2000,0,0,upheld,Omnibus Budget Reconciliation Act of 1981,95 Stat. 469,97-35,13/08/1981,226,97,2,,1,1,1,1,1,0,0,3,1,1999.08700,2000.09,,
Solid Waste Agency v. United States Army Corps of Engineers,531 U.S. 159,09/01/2001,2001,2000,1,1,struck down as applied,Federal Water Pollution Control Act Amendments of 1972,86 Stat. 884,92-500,18/10/1972,363,92,5,,1,0,1,1,1,0,1,4,1,2000.01000,2001.01,,
Board of Trustees of the University of Alabama v. Garrett,531 U.S. 356,21/02/2001,2001,2000,2,1,struck down on face,Americans with Disabilities Act of 1990,104 Stat. 330,101-336,26/07/1990,127,101,5,,1,0,1,1,1,1,0,4,1,2000.02200,2001.02,,
Whitman v. American Trucking Association,531 U.S. 457,27/02/2001,2001,2000,0,0,upheld,Clean Air Amendments of 1970,84 Stat. 1679,91-604,31/12/1970,362,91,6,,1,1,1,1,1,0,1,0,1,2000.02500,2001.03,,
